,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000223972.5,4,4,2,0,8,4,0,26,6,10,1,0,0,0,0,11,0,0
ENSG00000227232.5,189,182,224,259,433,174,374,498,247,400,334,0,71,241,226,222,12,5
ENSG00000278267.1,22,5,0,8,0,35,6,8,4,9,1,0,6,43,0,9,1,0
ENSG00000243485.5,3,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000238009.6,27,8,37,1,18,4,85,41,36,28,42,0,0,26,0,9,0,0
ENSG00000239945.1,0,1,0,0,15,1,38,6,16,9,19,0,0,0,0,4,0,0
ENSG00000233750.3,179,198,251,128,94,280,73,198,139,152,131,1,41,334,50,573,34,0
ENSG00000268903.1,610,310,340,314,553,443,265,299,141,265,228,6,219,802,390,804,26,0
ENSG00000269981.1,45,24,16,28,44,61,7,54,15,31,22,0,16,73,0,15,3,0
ENSG00000239906.1,3,0,7,0,14,1,0,22,6,12,6,0,0,0,0,0,0,0
ENSG00000241860.7,105,58,106,62,174,132,256,245,173,243,182,0,15,49,3,73,10,0
ENSG00000222623.1,0,0,0,0,7,4,6,1,0,0,1,0,0,0,0,0,0,0
ENSG00000241599.1,11,25,23,0,9,14,8,15,14,11,19,0,2,91,35,107,9,0
ENSG00000279928.2,4,0,0,0,1,0,3,13,14,1,1,0,0,0,0,0,0,0
ENSG00000279457.4,329,276,258,376,391,366,315,333,230,345,228,29,68,274,189,335,40,0
ENSG00000273874.1,5,8,0,18,12,2,0,8,6,24,4,0,0,23,0,7,3,0
ENSG00000228463.10,100,77,89,72,147,58,41,93,88,98,88,0,15,0,0,8,0,0
ENSG00000286448.1,0,0,0,0,1,0,0,8,3,0,4,0,19,0,0,8,2,0
ENSG00000236679.2,0,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,3,0,4,0,0,2,0,11,1,2,1,0,0,23,0,1,0,0
ENSG00000237094.12,49,47,68,74,141,103,87,164,92,178,135,0,6,52,43,39,4,0
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,3,16,3,5,2,8,22,6,6,24,6,0,7,16,0,15,0,0
ENSG00000250575.1,90,47,74,57,58,115,130,99,58,115,90,0,23,97,56,56,4,4
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,12,6,39,24,9,32,36,55,31,43,35,0,18,6,2,13,3,0
ENSG00000235146.2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,3196,2490,2084,2881,3176,3420,3022,4272,3193,4260,3028,147,982,5222,3387,6833,682,28
ENSG00000225630.1,8610,6342,4812,6773,9208,8895,12050,13968,10828,13198,12687,213,2332,9439,7753,8621,868,70
ENSG00000237973.1,9127,9218,9397,11089,10666,12507,12615,15980,16044,20393,15321,388,3962,15426,13203,13681,2206,135
ENSG00000278791.1,3,4,7,6,4,5,1,11,8,1,5,0,2,1,1,13,0,0
ENSG00000229344.1,3033,2084,1547,2621,2668,3776,2295,3788,3398,3902,1838,34,982,4324,2160,4123,839,1
ENSG00000240409.1,225,229,186,235,265,248,366,573,229,206,214,0,40,141,245,213,52,4
ENSG00000248527.1,25780,18451,14802,19214,28408,24945,40792,41450,22463,30087,38342,1010,5957,26996,19588,24968,2076,160
ENSG00000198744.5,2876,1659,1543,2201,3362,3334,3493,3639,2472,3271,3061,47,698,3559,2299,4707,221,5
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,12,40,22,0,0,34,35,13,19,34,15,10,4,62,0,125,14,0
ENSG00000228327.3,752,521,554,701,844,1019,838,1194,708,1283,926,3,187,1157,503,967,75,1
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,7,5,8,0,10,3,0,11,1,5,0,0,0,8,0,14,0,0
ENSG00000237491.10,100,65,47,67,104,87,87,99,26,53,51,1,42,119,25,146,20,0
ENSG00000285268.1,0,0,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,0
ENSG00000230092.7,0,19,1,2,0,25,0,0,3,0,0,0,0,89,0,26,2,0
ENSG00000177757.2,6,5,0,14,22,6,23,8,1,8,7,0,0,36,0,17,0,0
ENSG00000228794.10,390,265,299,232,375,356,612,651,482,656,449,8,181,656,371,516,54,0
ENSG00000225880.5,32,14,58,24,62,47,36,46,22,49,38,0,6,57,51,47,10,0
ENSG00000288531.1,1,0,0,0,19,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000230368.2,2,0,1,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,2,10,0,0,11,20,2,26,23,32,12,0,3,0,2,43,8,0
ENSG00000230699.2,24,9,31,19,0,29,89,95,53,77,42,0,50,140,268,161,14,0
ENSG00000241180.1,0,2,0,10,0,1,10,4,11,10,6,0,3,20,108,44,8,0
ENSG00000223764.2,28,29,31,0,32,17,60,116,81,175,100,0,20,370,3,184,8,0
ENSG00000187634.12,398,446,391,432,475,471,825,1055,722,1034,879,5,231,749,373,1173,60,6
ENSG00000188976.11,2263,2394,2598,2622,2875,2996,3378,4040,3275,4360,3203,10,1133,2910,1543,3289,309,13
ENSG00000187961.14,247,254,360,265,326,278,272,440,273,581,311,10,80,259,147,393,23,12
ENSG00000187583.11,357,367,260,249,496,370,377,497,320,572,321,6,59,182,0,234,41,12
ENSG00000187642.9,109,162,53,96,173,146,126,182,107,158,89,0,40,51,10,112,18,2
ENSG00000272512.1,16,1,10,0,0,7,143,183,84,140,75,0,65,250,163,153,11,0
ENSG00000188290.10,35,50,108,30,69,58,794,1043,705,1099,635,17,317,1229,732,1994,128,22
ENSG00000187608.10,296,47,45,31,67,214,2617,3225,3338,4876,1617,28,319,364,465,1116,150,6
ENSG00000231702.2,0,0,0,0,0,0,0,5,2,11,8,0,0,0,0,2,0,0
ENSG00000224969.1,0,0,0,0,0,0,0,0,7,1,0,0,2,2,23,0,0,0
ENSG00000188157.15,2315,3079,4085,3338,4566,5382,4215,5696,5105,7093,4357,88,1838,4241,1771,5923,510,46
ENSG00000242590.1,70,178,247,130,187,233,101,257,220,332,196,8,131,197,94,490,32,11
ENSG00000217801.10,92,31,68,47,39,30,125,118,67,119,90,0,73,93,137,251,21,1
ENSG00000273443.1,2,0,0,0,0,0,8,6,0,15,17,0,6,0,0,29,1,0
ENSG00000237330.3,193,36,24,13,35,52,79,66,51,67,42,0,13,178,67,133,17,0
ENSG00000131591.17,200,186,308,324,276,308,497,732,458,791,560,9,159,451,415,821,65,8
ENSG00000285812.1,69,115,69,74,69,64,77,92,51,116,113,0,28,469,113,334,28,1
ENSG00000223823.1,0,1,17,0,0,1,9,14,0,6,0,0,51,32,111,79,7,0
ENSG00000207730.3,0,0,0,0,0,1,4,3,1,2,1,0,0,0,0,3,0,0
ENSG00000207607.3,0,0,0,0,0,0,10,0,1,2,5,8,9,0,0,3,1,0
ENSG00000198976.1,6,9,13,1,10,14,30,28,21,18,10,0,0,33,24,18,2,0
ENSG00000272141.1,116,168,199,93,144,171,225,245,136,270,129,1,177,786,515,802,63,13
ENSG00000205231.1,4,2,17,1,0,13,0,1,1,2,3,0,53,147,80,146,15,0
ENSG00000162571.14,15,3,11,1,18,6,0,6,2,0,2,0,24,35,26,114,13,4
ENSG00000186891.14,0,0,0,0,0,0,4,5,15,13,2,0,130,447,75,906,83,5
ENSG00000186827.11,0,0,8,0,0,1,0,0,0,0,1,0,8,0,53,4,0,0
ENSG00000078808.17,1697,2331,1834,2202,2796,2657,2267,2674,2331,2792,2296,25,1514,2578,1667,3230,225,32
ENSG00000176022.7,279,311,474,349,447,454,428,513,448,542,404,20,220,664,453,972,89,2
ENSG00000184163.3,18,24,19,0,42,30,59,54,25,45,41,0,0,7,34,27,3,0
ENSG00000260179.1,19,8,12,1,3,1,7,6,8,6,18,0,6,16,35,21,3,0
ENSG00000160087.20,837,1047,1025,1008,1102,1187,1465,2018,1642,2149,1678,45,549,942,799,1709,147,6
ENSG00000230415.1,6,0,0,3,0,2,13,6,13,14,4,0,4,0,0,4,0,0
ENSG00000162572.21,7,17,0,0,0,27,41,117,47,82,52,0,65,98,130,234,15,8
ENSG00000131584.19,1175,1402,1302,1385,1284,1680,2630,4356,2305,4637,2254,8,915,2437,1567,3137,363,15
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
ENSG00000169972.12,268,307,336,259,385,370,425,537,402,591,484,7,151,279,191,396,31,4
ENSG00000127054.20,1356,1443,1523,1598,2118,1881,2348,2464,1997,2847,2037,35,555,1719,1064,1850,217,10
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,99,90,92,72,128,95,80,124,98,138,67,9,42,42,63,171,24,0
ENSG00000224051.7,827,825,841,807,1019,1006,1204,1765,1228,1525,1259,0,429,551,366,1093,71,0
ENSG00000169962.5,5,1,0,6,0,0,525,607,578,675,503,7,21,0,96,49,4,1
ENSG00000107404.20,1344,1454,1591,1520,1466,1880,1674,2758,1994,2726,2120,30,600,1244,1015,1884,168,16
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.16,81,50,46,116,107,113,3196,4007,1851,3419,2277,81,204,779,166,574,71,12
ENSG00000175756.13,1939,2423,2048,2268,2774,2633,3874,4470,3386,4261,3518,84,1511,3521,2680,5911,443,12
ENSG00000223663.2,0,4,14,0,0,2,2,1,1,10,2,0,2,0,0,20,0,0
ENSG00000221978.12,1531,1735,1759,1839,2224,2164,3107,3999,2149,4320,2132,36,1445,4947,2656,4117,366,27
ENSG00000224870.7,271,333,343,326,432,414,378,431,280,526,341,8,172,377,439,559,54,0
ENSG00000242485.6,1547,1702,1643,1689,2267,1898,2554,3251,2162,3071,2745,70,930,2262,1241,3060,184,15
ENSG00000264293.2,0,4,4,0,1,5,0,10,11,12,13,0,0,19,0,5,0,0
ENSG00000272455.1,44,38,43,73,63,67,137,164,124,162,75,4,42,196,44,232,6,0
ENSG00000235098.8,1,0,0,0,0,2,10,1,6,1,3,0,94,232,194,215,23,0
ENSG00000225905.1,0,0,0,0,0,1,0,0,0,0,0,0,4,32,0,38,0,0
ENSG00000205116.3,0,0,0,0,0,0,0,19,0,0,0,0,0,7,0,9,0,0
ENSG00000225285.1,25,10,36,6,3,18,46,79,79,107,114,0,13,55,50,50,8,4
ENSG00000179403.12,716,491,412,426,654,816,1599,2032,1539,2450,2239,29,673,1826,1521,1870,165,7
ENSG00000215915.10,68,34,48,53,73,63,194,285,167,296,199,19,282,792,841,1213,164,3
ENSG00000160072.20,953,1158,1273,1185,1459,1532,1591,2199,1341,2501,1620,74,609,1412,911,1910,168,17
ENSG00000284740.1,26,34,62,18,4,16,39,36,56,87,72,0,46,56,2,63,8,0
ENSG00000197785.14,1191,1488,1396,1535,2070,1995,1584,2042,1486,2169,1494,11,712,1259,639,1585,154,30
ENSG00000205090.9,18,35,84,24,74,31,0,7,10,12,6,0,9,72,0,39,2,5
ENSG00000160075.12,1643,1971,1863,1888,2175,2404,1824,2119,1870,2211,1770,30,1452,2898,1860,3922,311,27
ENSG00000215014.5,5,8,9,0,0,31,6,41,4,13,4,0,2,63,0,24,3,0
ENSG00000274481.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,87,86,30,87,126,103,143,123,130,142,140,0,70,581,419,346,25,0
ENSG00000286989.1,12,0,0,0,19,7,4,7,2,4,2,0,20,0,48,12,0,0
ENSG00000272106.1,66,70,58,112,56,59,127,108,205,176,123,0,15,72,60,43,6,0
ENSG00000197530.12,802,1096,739,854,1211,1137,619,719,506,774,369,28,270,805,617,1057,66,7
ENSG00000189409.14,2,1,3,4,0,2,0,2,13,1,1,0,3,8,0,31,4,0
ENSG00000248333.8,1776,2027,1906,2112,2492,2473,2383,2877,1944,2596,2134,102,876,3361,1989,3605,488,103
ENSG00000272004.1,6,13,1,2,15,4,25,15,27,31,13,0,3,14,0,5,0,0
ENSG00000189339.12,552,599,561,531,663,713,1363,1440,1257,1502,924,0,427,1492,1044,1407,113,11
ENSG00000269737.2,12,12,0,10,23,5,10,24,30,11,15,0,7,0,0,3,5,0
ENSG00000215914.4,10,4,3,0,0,1,4,6,1,1,0,0,16,0,0,42,1,0
ENSG00000008128.23,1562,1806,1629,1624,2006,1976,1626,2104,1359,2213,1528,55,819,2407,2058,3484,370,43
ENSG00000268575.1,688,765,664,691,916,770,685,880,596,964,613,50,293,824,692,1462,188,30
ENSG00000227775.3,55,68,51,44,65,78,80,89,38,87,60,0,48,8,250,111,9,0
ENSG00000215790.7,263,516,379,360,332,472,259,375,325,438,273,0,237,650,530,819,80,8
ENSG00000008130.15,791,919,1177,1239,1164,1218,1745,2685,2214,3113,1877,32,624,1237,889,1577,168,16
ENSG00000078369.18,3214,4374,4464,4745,5633,5327,7982,9152,7956,8960,7444,366,2049,3767,2065,4966,482,252
ENSG00000231050.1,50,14,14,39,71,20,0,20,2,19,16,0,0,34,0,1,0,0
ENSG00000169885.10,10,6,0,3,0,7,13,5,21,35,9,0,1,42,0,33,3,0
ENSG00000178821.13,7,16,38,25,11,31,21,38,13,26,23,0,5,37,0,22,4,0
ENSG00000142609.18,9,0,0,0,10,1,6,18,26,42,28,0,8,0,0,8,5,5
ENSG00000233542.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187730.9,0,0,0,0,0,0,10,8,2,8,23,0,0,0,0,0,0,0
ENSG00000226969.1,5,0,0,1,0,0,0,0,0,1,0,0,0,42,0,0,0,0
ENSG00000067606.17,230,291,231,315,341,337,662,983,719,941,663,19,149,608,123,552,73,13
ENSG00000271806.1,4,13,0,11,13,10,14,25,37,49,27,0,10,38,0,9,0,0
ENSG00000182873.5,43,35,17,20,7,33,98,147,73,135,94,0,43,89,78,96,1,7
ENSG00000162585.17,605,963,827,743,947,940,1535,1955,1407,1922,1563,44,412,1288,695,1824,152,15
ENSG00000234396.3,0,0,0,0,0,0,0,0,3,6,0,0,0,12,0,3,0,0
ENSG00000157933.10,1411,1539,1704,1893,2550,2201,1268,1695,1307,1498,1329,180,624,1966,1155,1621,120,80
ENSG00000287356.1,9,6,20,2,0,5,2,8,17,9,8,0,5,0,0,25,2,0
ENSG00000116151.14,63,93,105,95,134,100,128,115,75,177,144,0,44,59,0,168,20,0
ENSG00000272161.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269896.2,0,8,0,6,0,12,3,22,2,12,14,5,21,23,0,16,5,0
ENSG00000272420.1,2,7,6,22,8,15,0,13,2,4,5,0,18,27,14,40,1,0
ENSG00000157916.20,2167,2638,2549,2624,3317,3208,2632,3317,2530,3238,2356,58,1267,3092,1915,4303,329,44
ENSG00000157911.10,851,1048,1072,1054,1207,1318,783,1221,860,1243,715,41,455,1377,352,1534,124,8
ENSG00000149527.18,19,33,44,26,35,30,41,88,37,83,46,0,2,23,0,40,5,0
ENSG00000224387.1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0
ENSG00000229393.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0
ENSG00000157881.15,215,234,230,284,452,342,356,421,273,444,295,6,152,260,221,324,57,18
ENSG00000197921.6,11,5,0,9,0,0,0,9,0,1,11,0,0,31,0,61,0,0
ENSG00000272449.2,23,4,34,10,27,29,50,62,33,58,40,0,5,63,0,33,0,0
ENSG00000238164.6,38,19,20,17,7,34,23,27,9,40,6,0,0,29,27,5,0,0
ENSG00000157873.17,195,230,146,267,180,317,216,422,232,517,223,0,167,416,288,376,25,0
ENSG00000225931.3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000228037.1,6,0,0,6,0,1,0,0,4,5,16,0,10,0,0,12,0,0
ENSG00000157870.16,661,702,811,615,808,977,1040,1165,965,1395,1224,26,389,898,555,1093,103,7
ENSG00000142606.16,38,47,33,44,27,38,140,187,155,190,142,0,85,255,53,186,10,0
ENSG00000237058.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000215912.12,11,7,17,14,8,19,0,10,8,12,8,0,0,24,0,6,0,0
ENSG00000285945.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000283259.1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ENSG00000177133.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,0
ENSG00000142611.17,0,0,0,0,0,0,7,18,10,6,1,0,0,0,36,14,0,0
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
ENSG00000287828.1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0
ENSG00000286518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000130762.15,242,199,230,187,170,244,871,1392,1095,1728,865,44,345,741,588,927,98,0
ENSG00000272088.1,4,0,0,0,0,0,5,5,0,0,3,0,5,0,0,7,0,0
ENSG00000162591.16,21,38,24,29,44,40,225,277,168,463,104,0,225,1400,1129,1458,97,3
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000238260.1,2,33,32,12,7,29,19,45,18,20,15,0,3,31,44,17,1,0
ENSG00000158109.15,624,839,896,796,759,923,542,809,883,1046,719,0,367,461,614,855,109,2
ENSG00000116213.16,336,352,469,316,305,379,373,557,454,544,351,0,174,407,312,454,57,0
ENSG00000078900.15,20,9,25,14,2,16,12,30,24,22,20,0,55,95,108,140,13,0
ENSG00000227589.1,0,0,0,3,1,0,0,0,0,1,0,0,3,0,0,1,2,0
ENSG00000235131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.12,240,232,318,254,284,317,528,511,415,560,442,0,194,307,184,421,47,0
ENSG00000276189.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,1,3,0,7,0,11,4,0,1,1,1,0,0,0,0,10,2,0
ENSG00000235169.8,19,72,26,40,15,91,341,265,197,232,272,0,14,70,39,77,9,4
ENSG00000130764.10,683,896,928,946,1236,1077,1140,1396,1224,1370,1125,13,342,1202,740,1203,81,4
ENSG00000266075.2,0,2,0,7,0,7,0,3,0,10,6,0,0,0,0,32,0,0
ENSG00000272153.1,15,21,18,38,40,18,40,77,43,56,28,0,2,45,0,17,5,0
ENSG00000116198.13,408,545,566,530,609,588,628,877,674,838,664,0,183,653,424,703,60,10
ENSG00000169598.15,89,97,112,67,226,105,164,150,138,144,126,0,36,54,77,147,8,7
ENSG00000198912.11,330,530,504,540,741,524,355,431,302,454,316,13,105,662,233,295,25,6
ENSG00000236423.6,32,26,20,1,11,26,13,24,15,26,14,0,13,12,87,34,3,0
ENSG00000233304.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,0,0,0,0,0,7,8,4,0,0,0,0,2,0,0
ENSG00000284703.1,0,0,0,6,0,0,0,0,3,2,0,0,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000196581.11,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000287586.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
ENSG00000284739.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131697.18,138,201,211,278,379,366,266,356,261,419,243,4,131,95,109,305,34,0
ENSG00000069424.15,42,27,35,34,16,41,73,49,32,66,73,0,119,304,159,244,29,0
ENSG00000116254.18,8,6,8,19,36,28,56,38,34,61,32,10,2,0,0,4,0,5
ENSG00000285629.1,1261,1844,1900,1865,2060,2177,1608,1932,1708,2498,1645,30,451,1154,751,2156,156,20
ENSG00000116251.11,4390,5787,5697,5830,6496,6428,5522,6866,5475,7072,5606,170,1382,5157,3437,6826,445,96
ENSG00000226944.1,15,11,0,7,9,47,42,28,46,66,30,0,0,8,0,0,0,0
ENSG00000158286.13,291,185,280,241,200,288,208,297,171,348,151,0,67,88,228,110,18,0
ENSG00000116237.16,1412,1827,1630,1990,2043,2161,1403,1946,1927,2053,1573,22,741,1343,819,1513,139,13
ENSG00000225077.3,27,22,20,26,66,20,40,37,44,23,21,0,0,15,14,30,0,0
ENSG00000173673.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158292.7,1002,751,820,814,995,813,451,530,305,485,264,0,15,77,66,276,23,0
ENSG00000097021.19,768,714,683,672,965,708,1515,1860,1479,1951,1462,9,220,828,170,906,58,0
ENSG00000271746.1,44,2,7,14,23,5,2,6,13,9,11,0,0,0,0,6,0,0
ENSG00000069812.11,306,376,302,332,374,331,22,6,15,17,10,0,6,0,0,50,11,0
ENSG00000187017.17,212,166,146,217,242,268,165,206,159,222,135,0,145,868,112,868,50,2
ENSG00000265392.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231868.1,9,2,7,0,0,0,0,4,1,13,2,0,17,0,69,13,0,0
ENSG00000215788.10,213,275,307,212,349,265,205,287,256,402,226,0,58,84,107,243,28,0
ENSG00000171680.22,201,95,146,239,194,233,456,480,359,470,355,16,47,271,169,199,22,0
ENSG00000162408.11,360,436,455,428,565,538,296,395,360,433,278,11,196,449,282,719,46,0
ENSG00000253022.1,0,2,15,5,14,22,0,13,9,4,11,0,0,6,19,46,0,0
ENSG00000229519.2,12,9,3,8,17,17,0,1,11,3,16,0,0,37,1,74,4,0
ENSG00000173662.21,9,0,0,0,0,0,0,5,7,6,10,0,6,0,0,0,1,0
ENSG00000204859.13,307,325,361,372,406,366,343,521,343,558,350,0,94,571,313,486,38,6
ENSG00000162413.16,1133,1220,1391,1411,1305,1859,367,439,489,749,475,0,189,231,486,446,53,7
ENSG00000116273.6,300,442,556,429,506,560,457,621,676,683,539,0,181,265,90,340,35,4
ENSG00000041988.15,576,821,889,881,954,941,1023,1067,910,1277,1023,19,350,974,1013,1226,112,8
ENSG00000007923.16,920,1084,1213,1330,1408,1459,1790,2121,1841,2252,1837,8,420,1235,1155,1184,141,17
ENSG00000228750.7,0,4,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000237436.1,12,6,2,0,5,14,0,22,4,11,5,0,0,21,2,25,0,0
ENSG00000171735.19,277,390,285,295,427,471,290,328,203,254,205,24,174,313,279,552,181,47
ENSG00000227950.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000237728.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225126.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270171.1,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0
ENSG00000269978.1,4,3,0,0,8,5,0,4,0,3,1,0,7,0,0,4,0,0
ENSG00000049245.13,687,696,850,853,929,815,1576,1779,1587,1941,1511,28,314,651,379,750,57,16
ENSG00000269925.1,0,0,3,9,4,17,9,29,7,10,17,0,0,0,0,5,0,0
ENSG00000049246.14,115,101,116,127,166,167,119,84,97,57,94,0,182,360,221,301,16,0
ENSG00000236266.1,0,1,1,12,0,8,4,0,5,3,2,0,1,0,0,7,0,0
ENSG00000049247.13,10,15,16,12,19,18,12,3,12,3,6,0,12,28,66,7,2,0
ENSG00000049249.8,12,3,0,0,16,1,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000270330.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116288.13,2005,3529,3299,2903,3583,3430,3510,4395,3848,4949,3928,71,1240,2586,1172,3568,292,21
ENSG00000200344.1,3,0,0,0,0,0,0,3,7,3,0,0,2,0,0,0,0,0
